Country,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Local_Purchasing_Power_Index,Year,lat,lng
Bermuda,147.51,102.54,126.71,68.82,2021,32.3078,-64.7505
Switzerland,125.02,54.92,92.59,102.77,2021,46.818188,8.227511999999999
Norway,103.56,36.91,72.72,73.55,2021,60.47202399999999,8.468945999999999
Iceland,99.67,46.62,75.12,67.3,2021,64.963051,-19.020835
Barbados,94.44,22.53,61.17,30.74,2021,13.193887,-59.543198
Jersey,94.43,64.03,80.36,77.12,2021,49.2137711,-2.1357662
Denmark,88.53,34.51,63.53,86.43,2021,56.26392,9.501785
Luxembourg,85.3,64.19,75.53,87.76,2021,49.815273,6.129582999999999
Israel,84.77,32.6,60.63,65.91,2021,31.046051,34.851612
Bahamas,84.32,35.03,61.51,46.07,2021,25.03428,-77.39627999999999
Singapore,82.63,64.98,74.46,78.53,2021,1.352083,103.819836
Japan,81.15,28.05,56.58,76.01,2021,36.204824,138.252924
Hong Kong,80.82,77.56,79.31,56.86,2021,22.3193039,114.1693611
Australia,80.75,38.67,61.28,91.07,2021,-25.274398,133.775136
Netherlands,78.93,38.24,60.1,76.65,2021,52.132633,5.291265999999999
Ireland,78.55,45.34,63.18,71.58,2021,53.1423672,-7.692053599999999
France,77.59,27.07,54.22,76.36,2021,46.227638,2.213749
South Korea,76.46,23.25,51.84,69.44,2021,35.907757,127.766922
Finland,76.35,27.81,53.89,80.11,2021,61.92410999999999,25.748151
New Zealand,76.31,35.79,57.56,74.89,2021,-40.900557,174.885971
Sweden,75.89,27.61,53.55,85.44,2021,60.12816100000001,18.643501
Belgium,75.79,27.28,53.35,70.12,2021,50.503887,4.469936
Austria,74.87,29.38,53.82,68.69,2021,47.516231,14.550072
Seychelles,74.07,34.49,55.76,16.86,2021,-4.679574,55.491977
Malta,72.92,33.06,54.47,36.73,2021,35.937496,14.375416
Canada,71.45,35.06,54.62,78.34,2021,56.130366,-106.346771
United Kingdom,70.64,33.03,53.24,77.47,2021,55.378051,-3.435973
United States,70.55,42.56,57.6,94.32,2021,37.09024,-95.712891
Italy,69.99,22.12,47.84,54.3,2021,41.87194,12.56738
Lebanon,69.32,26.4,49.46,32.48,2021,33.854721,35.862285
Macao,68.16,46.31,58.05,62.15,2021,22.198745,113.543873
Germany,67.85,29.61,50.16,89.86,2021,51.165691,10.451526
Puerto Rico,67.84,20.4,45.89,61.16,2021,18.220833,-66.590149
Taiwan,64.93,17.86,43.15,51.09,2021,23.69781,120.960515
Qatar,61.93,48.95,55.93,84.85,2021,25.354826,51.183884
Cyprus,61.64,22.99,43.76,49.36,2021,35.126413,33.429859
Maldives,61.03,32.1,47.65,23.61,2021,3.202778,73.22068
United Arab Emirates,58.94,39.21,49.81,84.93,2021,23.424076,53.847818
Greece,58.38,13.3,37.52,35.95,2021,39.074208,21.824312
Bahrain,57.16,30.23,44.7,52.68,2021,26.0667,50.5577
Palestine,56.92,10.68,35.52,35.98,2021,31.952162,35.233154
Spain,56.64,23.19,41.16,58.5,2021,40.46366700000001,-3.74922
Slovenia,56.4,18.7,38.96,52.08,2021,46.151241,14.995463
Cuba,55.46,16.22,37.31,1.28,2021,21.521757,-77.781167
Croatia,55.18,14.5,36.36,39.83,2021,45.1,15.2
Trinidad And Tobago,54.78,16.96,37.28,34.85,2021,10.691803,-61.222503
Estonia,53.77,15.89,36.24,56.58,2021,58.595272,25.013607
Libya,53.59,13.95,35.25,27.83,2021,26.3351,17.228331
Panama,53.03,23.24,39.25,28.91,2021,8.537981,-80.782127
Jamaica,51.75,17.42,35.87,28.01,2021,18.109581,-77.297508
Senegal,51.54,22.22,37.97,21.87,2021,14.497401,-14.452362
Yemen,51.41,6.77,30.75,12.81,2021,15.552727,48.516388
Ivory Coast,50.95,22.05,37.58,5.65,2021,7.539988999999999,-5.547079999999999
Jordan,50.91,9.97,31.97,27.95,2021,30.585164,36.238414
Belize,50.91,11.65,32.74,42.38,2021,17.189877,-88.49765
Portugal,50.65,21.97,37.38,40.54,2021,39.39987199999999,-8.224454
Uruguay,50.55,14.15,33.7,27.43,2021,-32.522779,-55.765835
Latvia,50.41,12.9,33.06,43.49,2021,56.879635,24.603189
Suriname,50.05,10.09,31.56,14.55,2021,3.919305,-56.027783
Guyana,49.7,8.82,30.78,15.87,2021,4.860416,-58.93018
Oman,49.64,17.86,34.93,74.87,2021,21.4735329,55.975413
Saudi Arabia,49.6,12.51,32.44,80.11,2021,23.885942,45.079162
Kuwait,49.14,32.78,41.57,70.51,2021,29.31166,47.481766
Ethiopia,48.89,16.36,33.84,9.03,2021,9.145000000000001,40.489673
Chile,48.6,15.01,33.06,29.43,2021,-35.675147,-71.542969
Costa Rica,48.53,15.66,33.32,34.7,2021,9.748916999999999,-83.753428
Czech Republic,48.2,18.79,34.59,54.8,2021,49.81749199999999,15.472962
Cambodia,47.44,15.13,32.49,10.16,2021,12.565679,104.990963
Zimbabwe,47.35,9.47,29.82,17.01,2021,-19.015438,29.154857
Slovakia,47.32,17.51,33.53,45.65,2021,48.669026,19.699024
Mauritius,47.13,12.05,30.9,24.57,2021,-20.348404,57.55215200000001
Lithuania,46.04,14.75,31.56,52.8,2021,55.169438,23.881275
Venezuela,45.96,10.89,29.73,13.39,2021,6.42375,-66.58973
Fiji,44.93,17.9,32.42,29.4,2021,-17.713371,178.065032
Thailand,44.76,15.27,31.11,28.87,2021,15.870032,100.992541
Guatemala,44.39,16.19,31.34,22.17,2021,15.783471,-90.23075899999999
South Africa,44.21,18.25,32.19,69.15,2021,-30.559482,22.937506
El Salvador,44.01,14.12,30.18,19.21,2021,13.794185,-88.89653
Hungary,42.26,12.79,28.62,47.41,2021,47.162494,19.503304
Nicaragua,41.81,8.68,26.48,15.2,2021,12.865416,-85.207229
Dominican Republic,41.79,10.15,27.15,18.8,2021,18.735693,-70.162651
Poland,41.75,19.39,31.4,43.61,2021,51.919438,19.145136
Botswana,41.7,10.73,27.37,48.96,2021,-22.328474,24.684866
China,41.31,16.67,29.91,53.62,2021,35.86166,104.195397
Honduras,41.29,10.71,27.14,28.72,2021,15.199999,-86.241905
Cameroon,40.85,7.65,25.49,14.07,2021,7.369721999999999,12.354722
Iran,40.64,16.73,29.58,16.82,2021,32.427908,53.688046
Montenegro,39.81,12.02,26.95,33.1,2021,42.708678,19.37439
Philippines,39.11,10.41,25.83,18.0,2021,12.879721,121.774017
Ecuador,38.79,12.07,26.42,27.1,2021,-1.831239,-78.18340599999999
Bulgaria,38.67,9.56,25.2,39.49,2021,42.733883,25.48583
Ghana,38.53,21.08,30.46,16.85,2021,7.946527,-1.023194
Albania,37.73,8.6,24.25,25.59,2021,41.153332,20.168331
Serbia,37.62,9.75,24.73,34.16,2021,44.016521,21.005859
Malaysia,37.52,10.44,24.99,50.11,2021,4.210484,101.975766
Bosnia And Herzegovina,36.95,7.32,23.24,38.94,2021,43.915886,17.679076
Vietnam,36.94,13.94,26.29,25.29,2021,14.058324,108.277199
Romania,36.77,10.91,24.8,41.89,2021,45.943161,24.96676
Russia,36.76,15.3,26.83,35.53,2021,61.52401,105.318756
Mexico,36.74,14.45,26.43,31.3,2021,23.634501,-102.552784
Brazil,36.06,9.24,23.65,25.13,2021,-14.235004,-51.92528
Myanmar,36.04,20.41,28.8,12.73,2021,21.916221,95.955974
Iraq,36.02,11.33,24.59,35.9,2021,33.223191,43.679291
Indonesia,35.95,9.94,23.91,19.01,2021,-0.789275,113.921327
Kenya,35.82,10.0,23.87,25.37,2021,-0.023559,37.906193
Morocco,35.58,9.87,23.68,29.77,2021,31.791702,-7.092619999999999
Argentina,35.33,8.31,22.83,27.68,2021,-38.416097,-63.61667199999999
Bolivia,35.15,11.28,24.1,33.39,2021,-16.290154,-63.58865299999999
Somalia,34.5,5.8,21.22,26.16,2021,5.152149,46.199616
Mongolia,33.73,10.07,22.78,24.34,2021,46.862496,103.846656
Rwanda,33.57,15.77,25.34,22.78,2021,-1.940278,29.873888
Tanzania,33.48,13.43,24.2,14.97,2021,-6.369028,34.888822
Armenia,33.22,11.61,23.22,24.23,2021,40.069099,45.038189
Peru,33.01,11.27,22.95,26.13,2021,-9.189967,-75.015152
Bangladesh,33.01,4.76,19.94,21.76,2021,23.684994,90.356331
Zambia,32.94,8.5,21.63,41.19,2021,-13.133897,27.849332
Uganda,32.8,8.08,21.36,11.56,2021,1.373333,32.290275
North Macedonia,32.76,6.69,20.7,29.92,2021,41.608635,21.745275
Turkey,31.74,7.42,20.49,31.27,2021,38.963745,35.243322
Belarus,31.58,10.21,21.69,29.87,2021,53.709807,27.953389
Ukraine,31.2,11.57,22.12,30.28,2021,48.379433,31.16558
Moldova,30.72,8.93,20.64,29.44,2021,47.411631,28.369885
Paraguay,30.72,10.68,21.45,24.14,2021,-23.442503,-58.443832
Sri Lanka,30.41,8.4,20.23,18.43,2021,7.873053999999999,80.77179699999999
Azerbaijan,30.04,8.85,20.23,23.1,2021,40.143105,47.576927
Nigeria,29.63,33.87,31.59,8.79,2021,9.081999,8.675277
Kazakhstan,29.58,9.63,20.35,31.62,2021,48.019573,66.923684
Egypt,29.14,5.98,18.43,18.54,2021,26.820553,30.802498
Tunisia,28.77,5.82,18.15,25.42,2021,33.886917,9.537499
Georgia,28.58,9.64,19.81,25.16,2021,42.315407,43.35689199999999
Colombia,28.12,8.61,19.09,25.34,2021,4.570868,-74.297333
Syria,28.05,5.96,17.83,6.84,2021,34.80207499999999,38.996815
Nepal,27.86,4.4,17.01,20.0,2021,28.394857,84.12400799999999
Algeria,27.84,5.14,17.34,22.49,2021,28.033886,1.659626
Kosovo (Disputed Territory),27.83,8.76,19.0,39.05,2021,42.6026359,20.902977
Afghanistan,27.64,3.64,16.54,20.53,2021,33.93911,67.709953
Uzbekistan,27.1,9.64,19.02,19.48,2021,41.377491,64.585262
India,24.6,5.67,15.84,42.16,2021,20.593684,78.96288
Pakistan,21.88,4.57,13.87,24.56,2021,30.375321,69.34511599999999
